biacromialbreadth,chestcircumference,weightkg,stature,t-shirt size
424,1062,808,1700,L
422,1053,811,1689,L
412,1069,962,1803,L
427,1147,1003,1817,XL
399,1046,773,1709,M
414,1006,782,1802,M
423,1064,956,1837,L
387,897,660,1771,XS
435,1159,1107,1849,XL
422,1068,935,1735,L
420,1031,848,1807,M
417,1116,963,1791,L
421,1063,1026,1862,L
429,1093,889,1725,L
417,1026,771,1657,M
436,1213,1163,1869,2XL
478,1255,1325,1928,3XL
441,1193,1048,1831,2XL
408,1026,824,1758,M
394,943,650,1721,S
355,848,540,1700,XS
432,1114,1044,1839,XL
337,774,393,1600,XS
413,1113,897,1771,L
450,1182,1258,1859,2XL
427,1052,819,1790,L
420,1089,852,1773,L
394,944,655,1765,S
418,1033,861,1810,M
435,1174,1019,1814,XL
403,1056,795,1772,M
420,1089,867,1839,L
412,1083,991,1880,L
416,1055,828,1785,L
410,1086,840,1794,L
394,971,708,1699,S
404,980,703,1768,S
422,1119,902,1712,L
422,1104,912,1746,L
411,1084,864,1776,L
399,926,558,1658,S
433,1058,934,1787,L
403,1042,857,1653,M
416,1118,883,1759,L
448,1197,958,1712,2XL
407,977,742,1736,S
411,1026,799,1720,M
436,1195,1099,1786,2XL
417,1093,873,1711,L
416,1106,983,1736,L
389,922,638,1736,S
390,991,773,1736,S
441,1154,980,1774,XL
415,1001,796,1750,M
414,1056,790,1703,L
367,865,591,1679,XS
411,1051,878,1812,L
393,958,689,1714,S
420,1117,898,1800,L
443,1182,949,1799,2XL
424,1170,1059,1775,XL
384,917,557,1650,S
425,1116,956,1691,XL
434,1157,875,1758,XL
430,1173,1046,1844,XL
412,1057,784,1745,L
442,1223,1036,1768,2XL
424,1092,857,1818,L
419,1090,871,1724,L
412,1022,735,1722,M
403,1035,783,1761,M
384,973,642,1693,S
400,1020,824,1686,M
380,992,690,1683,S
420,1040,769,1688,M
412,1079,881,1764,L
421,1064,862,1802,L
430,1123,1102,1841,XL
408,1011,771,1776,M
424,1095,995,1734,L
445,1140,1056,1827,XL
466,1297,1092,1835,3XL
418,1017,803,1745,M
389,936,661,1660,S
439,1161,1029,1824,XL
441,1178,1081,1857,2XL
415,1072,1034,1790,L
433,1068,813,1807,L
401,1051,817,1676,M
410,1077,862,1764,L
423,1115,965,1764,XL
410,1052,880,1730,L
468,1312,1254,1912,3XL
408,1050,758,1734,M
414,1017,761,1732,M
417,1104,947,1805,L
395,967,683,1705,S
439,1137,974,1809,XL
398,1011,821,1748,M
425,1140,1004,1822,XL
409,1061,814,1676,M
427,1134,881,1762,XL
445,1202,1179,1751,2XL
425,1170,1051,1781,XL
384,961,658,1724,S
444,1113,956,1847,XL
420,1061,867,1760,L
433,1157,978,1781,XL
433,1143,972,1760,XL
432,1122,934,1679,XL
418,1108,962,1819,L
411,1108,895,1730,L
423,1073,929,1796,L
408,1046,752,1695,M
443,1158,1093,1848,XL
437,1151,1057,1851,XL
417,1059,865,1768,L
438,1129,997,1790,XL
447,1194,1137,1877,2XL
418,1088,845,1780,L
405,1044,843,1776,M
410,1052,878,1674,L
429,1098,870,1717,L
396,994,760,1705,S
430,1102,946,1768,L
423,1111,873,1780,L
413,999,711,1785,M
436,1176,990,1776,2XL
402,1008,699,1743,M
433,1155,1007,1790,XL
443,1204,1034,1799,2XL
445,1166,1032,1730,XL
401,941,656,1682,S
430,1127,921,1735,XL
394,968,632,1692,S
401,941,671,1834,S
428,1150,974,1722,XL
411,1090,856,1707,L
421,1053,874,1803,L
429,1164,946,1815,XL
415,1088,932,1754,L
399,1053,759,1668,M
433,1164,1032,1829,XL
424,1119,1078,1827,XL
408,1055,962,1785,M
424,1112,818,1713,XL
384,932,760,1823,S
432,1109,952,1842,L
443,1166,1001,1771,XL
420,1117,921,1833,L
424,1142,928,1765,XL
431,1114,966,1694,XL
405,1041,798,1668,M
441,1152,915,1803,XL
425,1106,955,1814,L
403,977,698,1771,S
423,1062,951,1826,L
420,1071,845,1718,L
438,1130,974,1817,XL
435,1137,909,1767,XL
405,1049,879,1791,M
422,1108,1007,1822,L
432,1142,1016,1820,XL
433,1153,969,1766,XL
436,1206,1047,1774,2XL
381,907,632,1607,XS
412,1077,829,1832,L
412,1065,822,1725,L
406,951,714,1842,S
413,1032,800,1780,M
435,1118,940,1780,XL
408,951,695,1767,S
426,1100,850,1719,L
430,1089,855,1797,L
425,1075,850,1788,L
407,987,789,1723,S
439,1147,1045,1821,XL
414,1048,804,1745,M
388,979,727,1715,S
442,1199,1041,1775,2XL
404,1027,710,1686,M
434,1114,953,1740,XL
431,1102,840,1771,L
389,907,646,1701,XS
414,1112,915,1721,L
443,1223,1067,1770,2XL
406,1048,772,1690,M
408,1034,817,1763,M
415,1009,813,1804,M
416,1034,852,1798,M
