biacromialbreadth,chestcircumference,weightkg,stature,t-shirt size
358,873,587,1557,S
350,930,647,1597,M
337,883,621,1598,S
368,956,698,1613,L
348,835,656,1649,S
350,892,621,1596,M
283,821,467,1442,XS
380,978,639,1555,L
359,911,698,1690,M
362,981,654,1634,L
355,862,593,1582,S
321,825,480,1475,XS
375,951,557,1633,L
352,945,661,1626,M
387,1057,794,1533,2XL
361,887,530,1634,M
333,877,524,1534,S
360,893,559,1628,M
335,880,578,1547,S
384,1033,849,1754,XL
364,895,607,1623,M
362,919,623,1614,M
346,825,516,1560,S
366,904,566,1536,M
355,908,576,1595,M
383,1005,807,1659,XL
370,978,711,1678,L
347,889,623,1589,S
343,880,578,1550,S
383,1026,755,1713,XL
383,1062,888,1711,XL
367,921,665,1641,M
373,1029,665,1672,XL
365,983,673,1585,L
374,1004,735,1656,XL
356,873,578,1522,S
365,970,693,1535,L
366,903,500,1591,M
350,916,567,1567,M
361,942,683,1637,L
345,882,591,1563,S
375,966,664,1672,L
373,968,710,1600,L
354,883,593,1566,S
354,910,658,1613,M
358,940,634,1572,M
350,869,480,1584,S
383,1042,793,1641,XL
365,984,649,1592,L
389,1081,875,1710,2XL
388,1012,768,1684,XL
380,1018,763,1625,XL
383,935,650,1666,L
355,896,555,1576,M
349,888,548,1597,M
356,879,650,1649,S
364,976,772,1537,L
360,888,537,1582,M
393,1010,833,1771,XL
368,967,599,1545,L
354,941,643,1561,M
357,880,613,1642,S
377,1027,847,1600,XL
372,953,687,1591,L
384,997,697,1697,XL
367,956,631,1563,L
324,795,513,1631,XS
368,937,694,1648,L
349,826,509,1496,S
332,878,520,1522,S
380,976,678,1618,L
378,940,657,1653,L
378,973,797,1614,L
393,1021,682,1673,XL
355,840,489,1588,S
362,888,617,1490,M
373,955,706,1611,L
367,909,611,1599,M
382,1001,662,1645,XL
366,933,616,1657,M
361,974,737,1641,L
404,1080,920,1681,2XL
389,1113,802,1585,2XL
393,1078,831,1678,2XL
355,886,599,1646,M
376,962,725,1676,L
362,910,624,1625,M
354,846,623,1641,S
367,899,630,1633,M
392,1032,820,1667,XL
393,1098,910,1736,2XL
365,965,801,1671,L
350,879,601,1574,S
340,884,568,1632,S
390,1015,720,1654,XL
345,881,652,1589,S
353,826,560,1611,S
394,1047,825,1692,XL
398,1071,995,1647,2XL
371,951,698,1760,L
384,1026,766,1683,XL
366,900,651,1618,M
334,800,518,1565,XS
349,868,549,1592,S
354,914,583,1538,M
352,883,670,1648,S
359,936,631,1645,M
370,941,676,1611,L
353,872,534,1602,S
383,1008,748,1670,XL
352,915,644,1643,M
362,979,677,1628,L
365,904,620,1575,M
358,868,599,1598,S
369,898,644,1610,M
333,822,536,1597,S
383,936,662,1502,L
341,881,586,1625,S
342,886,526,1525,S
337,894,564,1563,S
355,893,629,1661,M
366,999,781,1661,L
366,938,663,1634,L
358,926,610,1542,M
382,987,817,1743,L
353,857,557,1561,S
357,841,526,1620,S
353,857,614,1660,S
398,1066,893,1699,2XL
330,780,442,1483,XS
356,907,642,1579,M
363,940,737,1659,L
377,972,776,1684,L
368,953,646,1589,L
380,945,697,1683,L
381,953,724,1704,L
379,1022,697,1736,XL
386,1013,884,1724,XL
352,930,551,1604,M
379,970,749,1658,L
354,872,588,1638,S
368,1003,876,1751,L
354,857,597,1587,S
365,891,582,1588,M
355,843,489,1548,S
378,976,795,1718,L
365,885,600,1519,M
339,820,475,1529,S
367,909,735,1585,M
354,925,562,1610,M
333,852,523,1644,S
383,1023,756,1679,XL
367,912,674,1743,M
355,893,636,1675,M
366,951,641,1637,L
362,1004,793,1645,L
332,823,464,1471,S
363,901,593,1753,M
377,942,669,1759,L
370,920,609,1605,M
350,943,687,1530,M
296,826,452,1524,XS
382,1055,835,1683,XL
358,901,641,1577,M
394,1015,779,1651,XL
340,883,626,1596,S
378,1050,713,1600,XL
358,872,528,1557,S
351,896,552,1565,M
361,996,748,1614,L
361,958,692,1768,L
363,973,635,1578,L
354,917,704,1619,M
371,946,668,1681,L
378,973,695,1609,L
370,990,773,1625,L
381,984,717,1720,L
410,1203,1072,1770,3XL
413,1140,897,1616,3XL
350,870,497,1572,S
379,1049,696,1652,XL
365,952,734,1654,L
356,930,676,1749,M
381,952,665,1587,L
385,1091,792,1606,2XL
393,1060,865,1739,2XL
368,943,845,1678,L
362,974,631,1545,L
390,1113,898,1809,2XL
401,1090,970,1764,2XL
371,940,663,1606,L
372,952,594,1567,L
376,1059,657,1594,XL
345,837,520,1573,S
371,973,924,1749,L
362,925,678,1674,M
378,1030,687,1704,XL
360,994,699,1604,L
360,931,558,1594,M
378,1016,717,1613,XL
361,902,610,1641,M
